candidate,term,tf,tf_per_k
artes,chile,180,11.800957188749754
artes,pais,178,11.66983544220809
artes,no,165,10.817544089687274
artes,nacional,162,10.620861469874779
artes,sistema,158,10.35861797679145
artes,popular,131,8.588474398478988
artes,produccion,105,6.883891693437357
artes,proceso,90,5.900478594374877
artes,patriotico,89,5.834917721104045
artes,empresas,89,5.834917721104045
artes,sociedad,73,4.785943748770734
artes,desarrollo,71,4.65482200222907
artes,politica,65,4.261456762604078
artes,trabajo,63,4.130335016062414
artes,pueblos,62,4.064774142791582
artes,debera,61,3.99921326952075
artes,trabajadores,59,3.868091522979086
artes,derecho,57,3.736969776437422
artes,planificacion,56,3.67140890316659
artes,industrializacion,52,3.4091654100832622
artes,propiedad,50,3.2780436635415984
artes,economia,49,3.212482790270766
artes,fuerzas,49,3.212482790270766
artes,sectores,46,3.0158001704582706
artes,etc,46,3.0158001704582706
artes,general,45,2.9502392971874385
artes,social,41,2.6879958041041108
artes,patria,41,2.6879958041041108
artes,asamblea,41,2.6879958041041108
artes,actual,38,2.4913131842916147
artes,salud,38,2.4913131842916147
artes,clase,37,2.4257523110207826
artes,forma,37,2.4257523110207826
artes,nacionales,37,2.4257523110207826
artes,paises,37,2.4257523110207826
artes,constituyente,37,2.4257523110207826
artes,energia,37,2.4257523110207826
artes,sociales,36,2.360191437749951
artes,economica,36,2.360191437749951
artes,organizacion,34,2.229069691208287
artes,explotacion,33,2.163508817937455
artes,plan,33,2.163508817937455
artes,intereses,32,2.097947944666623
artes,necesidades,32,2.097947944666623
artes,seran,31,2.032387071395791
artes,manos,30,1.966826198124959
artes,poblacion,30,1.966826198124959
artes,oro,30,1.966826198124959
artes,especialmente,30,1.966826198124959
artes,sector,30,1.966826198124959
artes,estatal,29,1.9012653248541271
artes,quinquenal,29,1.9012653248541271
artes,trabajadora,28,1.835704451583295
artes,capacidad,28,1.835704451583295
artes,empresa,28,1.835704451583295
artes,construccion,27,1.770143578312463
artes,militar,27,1.770143578312463
artes,capitalista,27,1.770143578312463
artes,base,27,1.770143578312463
artes,pensiones,27,1.770143578312463
artes,educacion,27,1.770143578312463
artes,mayorias,26,1.7045827050416311
artes,politico,26,1.7045827050416311
artes,internacional,26,1.7045827050416311
artes,capital,26,1.7045827050416311
artes,ejemplo,26,1.7045827050416311
artes,campo,26,1.7045827050416311
artes,interes,25,1.6390218317707992
artes,refundacion,25,1.6390218317707992
artes,privada,25,1.6390218317707992
artes,crimen,25,1.6390218317707992
artes,imperialistas,24,1.5734609584999673
artes,soberania,24,1.5734609584999673
artes,medida,24,1.5734609584999673
artes,procesos,23,1.5079000852291353
artes,servicio,23,1.5079000852291353
artes,formas,23,1.5079000852291353
