term,freq,cos_sim,cos_dist,rank_peri
mixtas,5,0.03259829804301262,0.9674017019569874,1
synco,7,0.0863678827881813,0.9136321172118187,2
refundadas,8,0.09191540628671646,0.9080845937132835,3
plurinacional,7,0.14310909807682037,0.8568909019231796,4
sin,55,0.5087994933128357,0.4912005066871643,5
atencion,8,0.5467092990875244,0.4532907009124756,6
una,268,0.5467948317527771,0.4532051682472229,7
millones,15,0.551971971988678,0.448028028011322,8
salud,38,0.5546562671661377,0.4453437328338623,9
sistema,158,0.558718204498291,0.441281795501709,10
si,50,0.5591326355934143,0.4408673644065857,11
los,707,0.5664314031600952,0.4335685968399048,12
entre,34,0.5712765455245972,0.42872345447540283,13
centros,8,0.5813390612602234,0.4186609387397766,14
marco,18,0.5823866128921509,0.4176133871078491,15
inteligencia,7,0.5850265026092529,0.41497349739074707,16
lo,89,0.5895591378211975,0.4104408621788025,17
ley,7,0.5903415679931641,0.40965843200683594,18
servicios,6,0.5909266471862793,0.4090733528137207,19
no,165,0.5911952257156372,0.4088047742843628,20
n,6,0.5960459113121033,0.40395408868789673,21
programa,15,0.5997429490089417,0.40025705099105835,22
publico,13,0.599848747253418,0.40015125274658203,23
un,324,0.6025407910346985,0.3974592089653015,24
las,604,0.6034867763519287,0.3965132236480713,25
mas,92,0.6046592593193054,0.3953407406806946,26
impuesto,5,0.6062144041061401,0.39378559589385986,27
empresas,89,0.6114267110824585,0.3885732889175415,28
ni,10,0.6138826608657837,0.3861173391342163,29
criterios,10,0.6139398217201233,0.3860601782798767,30
crimen,25,0.6142797470092773,0.38572025299072266,31
nacional,162,0.6191887259483337,0.38081127405166626,32
acceso,12,0.6209757924079895,0.3790242075920105,33
organizado,21,0.6265373826026917,0.37346261739730835,34
educacion,27,0.6308443546295166,0.3691556453704834,35
tecnologia,5,0.6321055889129639,0.36789441108703613,36
gobierno,139,0.6337329745292664,0.36626702547073364,37
cada,36,0.6383415460586548,0.3616584539413452,38
formacion,15,0.6393749713897705,0.3606250286102295,39
usd,11,0.6421288251876831,0.3578711748123169,40
evaluacion,8,0.6468422412872314,0.35315775871276855,41
al,184,0.6499044299125671,0.35009557008743286,42
plan,33,0.6523394584655762,0.34766054153442383,43
para,264,0.6525352001190186,0.34746479988098145,44
primaria,7,0.6534675359725952,0.3465324640274048,45
propuesta,5,0.6536669731140137,0.34633302688598633,46
mujeres,11,0.654881477355957,0.34511852264404297,47
beneficios,5,0.6550520658493042,0.3449479341506958,48
mayores,6,0.6576563119888306,0.34234368801116943,49
o,143,0.6581452488899231,0.3418547511100769,50
