term,freq,cos_sim,cos_dist,rank_proto
ir,10,0.9786623120307922,0.021337687969207764,1
emancipacion,11,0.9747567176818848,0.025243282318115234,2
pasaran,8,0.974220335483551,0.025779664516448975,3
estrictamente,5,0.9721482396125793,0.027851760387420654,4
deberan,22,0.9712913632392883,0.02870863676071167,5
generalizado,5,0.9703137874603271,0.02968621253967285,6
empero,6,0.9693774580955505,0.030622541904449463,7
confrontar,7,0.9681490659713745,0.03185093402862549,8
promovera,15,0.9672631621360779,0.03273683786392212,9
apoyar,9,0.9670702219009399,0.03292977809906006,10
destruccion,6,0.9670025110244751,0.0329974889755249,11
particular,7,0.9657301306724548,0.034269869327545166,12
importancia,6,0.965334951877594,0.034665048122406006,13
autodeterminacion,6,0.9639639258384705,0.03603607416152954,14
primordialmente,5,0.9633544087409973,0.036645591259002686,15
decidida,5,0.9626789689064026,0.03732103109359741,16
indispensable,5,0.9619055986404419,0.038094401359558105,17
constituiran,7,0.9617393016815186,0.038260698318481445,18
teniendo,8,0.9617062211036682,0.03829377889633179,19
promover,7,0.960882306098938,0.03911769390106201,20
cooperativa,5,0.9604290723800659,0.03957092761993408,21
plena,8,0.9601700305938721,0.03982996940612793,22
concertacion,5,0.9600968360900879,0.03990316390991211,23
economicamente,6,0.9599835872650146,0.04001641273498535,24
expropiaciones,6,0.9596250057220459,0.0403749942779541,25
generalizada,6,0.9595816731452942,0.04041832685470581,26
alza,5,0.9592689275741577,0.040731072425842285,27
aumentar,9,0.9591963291168213,0.04080367088317871,28
madre,6,0.959086000919342,0.04091399908065796,29
concentracion,5,0.9588987231254578,0.041101276874542236,30
dictadura,21,0.9588024616241455,0.04119753837585449,31
flagelo,6,0.9581205248832703,0.041879475116729736,32
capitalismo,6,0.9578835964202881,0.042116403579711914,33
papel,7,0.9577550888061523,0.042244911193847656,34
hambre,5,0.9577074646949768,0.04229253530502319,35
imperioso,5,0.957314670085907,0.04268532991409302,36
nuclear,6,0.9569067358970642,0.04309326410293579,37
habitacional,5,0.9568203687667847,0.04317963123321533,38
profundamente,5,0.9565842151641846,0.04341578483581543,39
colectiva,5,0.9564028382301331,0.04359716176986694,40
estructurales,7,0.9562842845916748,0.043715715408325195,41
gozar,5,0.956076979637146,0.043923020362854004,42
manifiesto,5,0.9560092687606812,0.04399073123931885,43
oligarquia,13,0.9559547305107117,0.04404526948928833,44
asalariada,5,0.9556840658187866,0.04431593418121338,45
monopolista,8,0.9554681181907654,0.04453188180923462,46
boicot,6,0.9551222920417786,0.044877707958221436,47
viabilidad,6,0.954990565776825,0.04500943422317505,48
humanidad,8,0.9547846913337708,0.04521530866622925,49
propietario,6,0.9547618627548218,0.04523813724517822,50
