term,freq,cos_sim,cos_dist,rank_peri
sin,33,0.5304028391838074,0.4695971608161926,1
digitales,6,0.5408005714416504,0.4591994285583496,2
si,9,0.5435168743133545,0.4564831256866455,3
una,105,0.5502265095710754,0.44977349042892456,4
los,189,0.5562382936477661,0.4437617063522339,5
sistema,24,0.5633304119110107,0.43666958808898926,6
lo,47,0.5723184943199158,0.42768150568008423,7
entre,17,0.5767385363578796,0.42326146364212036,8
ley,14,0.5767874121665955,0.42321258783340454,9
gobierno,19,0.5816280841827393,0.41837191581726074,10
empresas,8,0.5831666588783264,0.4168333411216736,11
n,5,0.588463306427002,0.41153669357299805,12
las,155,0.5885167121887207,0.4114832878112793,13
programa,17,0.5896685719490051,0.4103314280509949,14
inteligencia,6,0.5986613035202026,0.40133869647979736,15
no,80,0.5988170504570007,0.40118294954299927,16
un,149,0.6004851460456848,0.3995148539543152,17
publico,22,0.6023414731025696,0.3976585268974304,18
nacional,41,0.6026811599731445,0.39731884002685547,19
salud,45,0.6032388210296631,0.3967611789703369,20
crimen,9,0.6050359010696411,0.3949640989303589,21
atencion,5,0.6053875684738159,0.3946124315261841,22
organizado,9,0.6183028817176819,0.3816971182823181,23
centros,8,0.618451714515686,0.38154828548431396,24
programas,16,0.6216617822647095,0.3783382177352905,25
ni,16,0.6239351630210876,0.37606483697891235,26
al,65,0.6247283220291138,0.37527167797088623,27
pais,39,0.6272312998771667,0.37276870012283325,28
ha,18,0.6288431882858276,0.37115681171417236,29
red,7,0.6301975846290588,0.36980241537094116,30
ministerio,10,0.6324819326400757,0.3675180673599243,31
regionales,6,0.6338043212890625,0.3661956787109375,32
servicios,8,0.6360368728637695,0.36396312713623047,33
mas,76,0.6409745812416077,0.35902541875839233,34
cada,29,0.6420405507087708,0.35795944929122925,35
por,111,0.6558009386062622,0.3441990613937378,36
chile,82,0.6596453785896301,0.3403546214103699,37
gestion,12,0.6631411910057068,0.3368588089942932,38
plan,9,0.6676225066184998,0.33237749338150024,39
o,44,0.6679404377937317,0.3320595622062683,40
acceso,8,0.668461799621582,0.33153820037841797,41
es,107,0.6722933053970337,0.3277066946029663,42
del,144,0.6737117171287537,0.32628828287124634,43
anos,15,0.6742281317710876,0.32577186822891235,44
tecnologia,10,0.674458384513855,0.325541615486145,45
propuesta,5,0.6754241585731506,0.32457584142684937,46
desarrollo,48,0.677669882774353,0.322330117225647,47
crearemos,8,0.6792107820510864,0.3207892179489136,48
solo,20,0.6794639229774475,0.3205360770225525,49
el,326,0.6833199858665466,0.31668001413345337,50
