term,freq,cos_sim,cos_dist,rank_proto
dando,5,0.9673012495040894,0.032698750495910645,1
brechas,5,0.9652951955795288,0.03470480442047119,2
daremos,5,0.958268404006958,0.04173159599304199,3
tranquilos,5,0.957318127155304,0.042681872844696045,4
busca,5,0.9559950828552246,0.04400491714477539,5
socioeconomico,6,0.954949676990509,0.04505032300949097,6
adicionalmente,6,0.9540875554084778,0.04591244459152222,7
convivencia,5,0.9527419209480286,0.047258079051971436,8
infantil,5,0.9526316523551941,0.04736834764480591,9
responsables,5,0.9524061679840088,0.04759383201599121,10
ambitos,5,0.951812744140625,0.048187255859375,11
plantea,5,0.9507819414138794,0.049218058586120605,12
promocion,5,0.9460969567298889,0.053903043270111084,13
amplio,6,0.9453684687614441,0.05463153123855591,14
defensoria,5,0.9401604533195496,0.05983954668045044,15
mejoras,6,0.9386851787567139,0.06131482124328613,16
salto,5,0.9384526014328003,0.06154739856719971,17
primera,8,0.9378284215927124,0.0621715784072876,18
genero,8,0.937404215335846,0.06259578466415405,19
mundial,7,0.9355983138084412,0.06440168619155884,20
sustentable,6,0.9352709650993347,0.06472903490066528,21
aguas,6,0.9343174695968628,0.06568253040313721,22
pandemia,6,0.9339861869812012,0.06601381301879883,23
ningun,6,0.9329221844673157,0.06707781553268433,24
inversionistas,5,0.9311224222183228,0.06887757778167725,25
invertir,5,0.9310206174850464,0.06897938251495361,26
agenda,5,0.9309399724006653,0.06906002759933472,27
demanda,5,0.9306998252868652,0.06930017471313477,28
reglas,5,0.9296289682388306,0.07037103176116943,29
ciudadanas,6,0.9291822910308838,0.07081770896911621,30
campamentos,8,0.9283029437065125,0.07169705629348755,31
patrimonio,5,0.9274728298187256,0.07252717018127441,32
acuerdo,6,0.9270890951156616,0.07291090488433838,33
principal,5,0.9265844821929932,0.07341551780700684,34
fundamental,5,0.9260920286178589,0.07390797138214111,35
linea,8,0.9259763956069946,0.07402360439300537,36
dar,7,0.9253564476966858,0.07464355230331421,37
alcanzar,5,0.9252854585647583,0.0747145414352417,38
generar,11,0.924659788608551,0.07534021139144897,39
graves,6,0.9236706495285034,0.07632935047149658,40
promoveremos,6,0.9224212169647217,0.07757878303527832,41
conjunto,7,0.9223177433013916,0.0776822566986084,42
asegurar,8,0.9217224717140198,0.07827752828598022,43
confianza,9,0.9216152429580688,0.07838475704193115,44
materia,6,0.9213134050369263,0.07868659496307373,45
acciones,5,0.9206160306930542,0.0793839693069458,46
partidos,8,0.9194543957710266,0.08054560422897339,47
propondremos,5,0.9189457297325134,0.08105427026748657,48
fraternidad,7,0.9184736609458923,0.08152633905410767,49
estabilidad,6,0.9183908104896545,0.08160918951034546,50
