term,freq,cos_sim,cos_dist,rank_peri
sin,9,0.5366218686103821,0.4633781313896179,1
si,6,0.5409680008888245,0.45903199911117554,2
una,32,0.5461275577545166,0.4538724422454834,3
los,46,0.5546103715896606,0.44538962841033936,4
ley,9,0.5628067255020142,0.43719327449798584,5
sistema,13,0.5705933570861816,0.42940664291381836,6
lo,19,0.573334813117981,0.42666518688201904,7
programa,5,0.5899279713630676,0.4100720286369324,8
las,57,0.597635805606842,0.40236419439315796,9
publico,6,0.5976536870002747,0.40234631299972534,10
nacional,12,0.5981863141059875,0.40181368589401245,11
salud,13,0.6077994108200073,0.3922005891799927,12
no,27,0.6095694303512573,0.3904305696487427,13
un,46,0.61232990026474,0.38767009973526,14
servicios,6,0.6246477961540222,0.3753522038459778,15
pais,13,0.6252591609954834,0.3747408390045166,16
al,11,0.6297541260719299,0.37024587392807007,17
cada,6,0.6393226981163025,0.3606773018836975,18
por,14,0.6428830623626709,0.3571169376373291,19
mas,21,0.6517444849014282,0.3482555150985718,20
chile,13,0.6582321524620056,0.3417678475379944,21
acceso,12,0.6656972765922546,0.33430272340774536,22
del,21,0.6666628122329712,0.3333371877670288,23
anos,5,0.6692952513694763,0.3307047486305237,24
crearemos,7,0.6703856587409973,0.3296143412590027,25
desarrollo,10,0.6767158508300781,0.3232841491699219,26
es,17,0.6772012710571289,0.3227987289428711,27
politica,7,0.6787540912628174,0.3212459087371826,28
solo,7,0.6867443919181824,0.3132556080818176,29
el,78,0.6885360479354858,0.31146395206451416,30
educacion,5,0.6891542673110962,0.3108457326889038,31
esta,6,0.6897115111351013,0.3102884888648987,32
la,99,0.6907386183738708,0.30926138162612915,33
mujeres,5,0.6947624087333679,0.3052375912666321,34
este,6,0.6999359130859375,0.3000640869140625,35
sino,10,0.7006294131278992,0.29937058687210083,36
nuestro,5,0.7055065631866455,0.2944934368133545,37
para,43,0.7056094408035278,0.29439055919647217,38
publica,9,0.7096675038337708,0.29033249616622925,39
como,14,0.7155460119247437,0.28445398807525635,40
pero,5,0.7248967885971069,0.27510321140289307,41
personas,7,0.7302463054656982,0.26975369453430176,42
e,6,0.7315002679824829,0.2684997320175171,43
a,82,0.7316203117370605,0.26837968826293945,44
nuevo,6,0.7337248921394348,0.2662751078605652,45
publicas,5,0.737920880317688,0.262079119682312,46
fortaleceremos,12,0.7423827052116394,0.2576172947883606,47
familias,11,0.7426962852478027,0.25730371475219727,48
estado,5,0.7439853549003601,0.2560146450996399,49
hay,8,0.7449818253517151,0.2550181746482849,50
