term,freq,cos_sim,cos_dist,rank_proto
genero,9,0.9340968728065491,0.06590312719345093,1
dignos,5,0.9323834180831909,0.06761658191680908,2
humanos,5,0.9164251685142517,0.08357483148574829,3
ejes,5,0.9122003316879272,0.08779966831207275,4
justicia,12,0.8832259178161621,0.11677408218383789,5
tambien,8,0.8737838268280029,0.12621617317199707,6
cuidados,5,0.8726386427879333,0.12736135721206665,7
trabajadoras,5,0.8721291422843933,0.1278708577156067,8
bienestar,6,0.8712833523750305,0.12871664762496948,9
enfoque,8,0.8673095107078552,0.13269048929214478,10
seguro,8,0.8626127243041992,0.13738727569580078,11
dignidad,5,0.8605356216430664,0.1394643783569336,12
empleo,5,0.8542121648788452,0.14578783512115479,13
trata,5,0.8496012687683105,0.15039873123168945,14
pacto,5,0.8399935364723206,0.16000646352767944,15
social,9,0.8370522856712341,0.16294771432876587,16
participacion,8,0.8325768113136292,0.16742318868637085,17
vivir,9,0.8305269479751587,0.1694730520248413,18
derechos,14,0.8294183015823364,0.17058169841766357,19
barrios,9,0.8261251449584961,0.1738748550415039,20
futuro,9,0.8253020644187927,0.17469793558120728,21
en,57,0.8241877555847168,0.1758122444152832,22
hemos,5,0.8235465884208679,0.17645341157913208,23
territorial,5,0.8199492692947388,0.18005073070526123,24
derecho,9,0.8179918527603149,0.18200814723968506,25
condiciones,5,0.817697286605835,0.18230271339416504,26
hacia,8,0.8012010455131531,0.19879895448684692,27
estatal,5,0.8003939986228943,0.1996060013771057,28
justo,7,0.7959199547767639,0.20408004522323608,29
economico,5,0.79542076587677,0.20457923412322998,30
avanzar,5,0.7937341928482056,0.20626580715179443,31
de,172,0.7902486324310303,0.20975136756896973,32
miedo,5,0.7846242189407349,0.21537578105926514,33
violencia,5,0.7837935090065002,0.21620649099349976,34
posible,5,0.783413290977478,0.21658670902252197,35
universal,6,0.7824345231056213,0.21756547689437866,36
y,156,0.777311384677887,0.22268861532211304,37
modelo,6,0.7765551805496216,0.22344481945037842,38
con,60,0.7736691832542419,0.22633081674575806,39
todas,6,0.7689219117164612,0.23107808828353882,40
vida,12,0.768317699432373,0.23168230056762695,41
seguridad,7,0.7673444151878357,0.2326555848121643,42
impulsaremos,13,0.7643110752105713,0.2356889247894287,43
se,33,0.7634303569793701,0.23656964302062988,44
que,60,0.7554686069488525,0.24453139305114746,45
todos,5,0.7521013021469116,0.24789869785308838,46
hay,8,0.7449818253517151,0.2550181746482849,47
estado,5,0.7439853549003601,0.2560146450996399,48
familias,11,0.7426962852478027,0.25730371475219727,49
fortaleceremos,12,0.7423827052116394,0.2576172947883606,50
