term,freq,cos_sim,cos_dist,rank_peri
expandir,5,-0.20145508646965027,1.2014550864696503,1
mba,5,-0.13118255138397217,1.1311825513839722,2
cancilleria,5,-0.12795555591583252,1.1279555559158325,3
asociaciones,11,-0.12644456326961517,1.1264445632696152,4
refuerza,5,-0.12090276926755905,1.120902769267559,5
tribunal,8,-0.11728748679161072,1.1172874867916107,6
mbn,5,-0.11657562106847763,1.1165756210684776,7
cirujano,15,-0.11436320841312408,1.114363208413124,8
seguido,5,-0.09536348283290863,1.0953634828329086,9
arquitecto,6,-0.09523339569568634,1.0952333956956863,10
manipulacion,5,-0.09256067126989365,1.0925606712698936,11
cm,5,-0.09234162420034409,1.092341624200344,12
comprometer,10,-0.08557094633579254,1.0855709463357925,13
nodos,5,-0.08355001360177994,1.08355001360178,14
descuentos,5,-0.0792112648487091,1.079211264848709,15
empoderando,5,-0.07327423989772797,1.073274239897728,16
madrid,5,-0.06547478586435318,1.0654747858643532,17
economista,5,-0.0635342001914978,1.0635342001914978,18
cmf,6,-0.057912666350603104,1.057912666350603,19
asociadas,7,-0.051611170172691345,1.0516111701726913,20
teletrabajo,6,-0.04847409203648567,1.0484740920364857,21
limitado,7,-0.04375777021050453,1.0437577702105045,22
logisticos,15,-0.0422622449696064,1.0422622449696064,23
cdr,8,-0.04175980016589165,1.0417598001658916,24
abogado,9,-0.04132483899593353,1.0413248389959335,25
debidamente,7,-0.03639838099479675,1.0363983809947968,26
verticalidad,5,-0.03263726085424423,1.0326372608542442,27
corresponden,8,-0.02313501201570034,1.0231350120157003,28
previsibilidad,5,-0.01997298188507557,1.0199729818850756,29
ecuador,6,-0.016965996474027634,1.0169659964740276,30
ventanillas,5,-0.014411499723792076,1.014411499723792,31
correspondiente,6,-0.0072212666273117065,1.0072212666273117,32
patologia,5,-0.007111223880201578,1.0071112238802016,33
tmf,10,0.00013923551887273788,0.9998607644811273,34
tarjeta,5,0.0018248413689434528,0.9981751586310565,35
largos,5,0.002701729768887162,0.9972982702311128,36
acreditadas,5,0.004923604428768158,0.9950763955712318,37
agilidad,6,0.010607825592160225,0.9893921744078398,38
msc,8,0.012460540980100632,0.9875394590198994,39
ministerial,5,0.02613469958305359,0.9738653004169464,40
boleta,6,0.030605576932430267,0.9693944230675697,41
inspirados,6,0.03377343341708183,0.9662265665829182,42
involucrados,5,0.03646448627114296,0.963535513728857,43
alineados,5,0.040544651448726654,0.9594553485512733,44
liquidez,7,0.04312107712030411,0.9568789228796959,45
sqm,5,0.04798072949051857,0.9520192705094814,46
vouchers,10,0.05226569622755051,0.9477343037724495,47
judicatura,7,0.05742707476019859,0.9425729252398014,48
concesionar,6,0.06868654489517212,0.9313134551048279,49
rca,11,0.078157439827919,0.921842560172081,50
