term,freq,cos_sim,cos_dist,rank_proto
escasez,7,0.9798362255096436,0.020163774490356445,1
promueva,5,0.9793687462806702,0.020631253719329834,2
contribuciones,6,0.978278398513794,0.021721601486206055,3
regla,8,0.9780762195587158,0.02192378044128418,4
invertido,5,0.9767007827758789,0.023299217224121094,5
intercambio,6,0.9763351082801819,0.023664891719818115,6
activo,7,0.9760489463806152,0.023951053619384766,7
garantia,15,0.9756253957748413,0.02437460422515869,8
reconociendo,12,0.9751905798912048,0.024809420108795166,9
consiste,6,0.9748054146766663,0.02519458532333374,10
habitacional,10,0.9739390015602112,0.02606099843978882,11
fortalece,9,0.9738807082176208,0.02611929178237915,12
pasar,6,0.9733293652534485,0.026670634746551514,13
pone,6,0.9728831052780151,0.027116894721984863,14
deberan,7,0.9726853966712952,0.027314603328704834,15
eleccion,11,0.9724664092063904,0.02753359079360962,16
promovera,6,0.972156822681427,0.027843177318572998,17
flexibilidad,9,0.9721433520317078,0.027856647968292236,18
gracias,10,0.9720994830131531,0.027900516986846924,19
liberar,11,0.9719221591949463,0.02807784080505371,20
asfixiante,7,0.9716649651527405,0.02833503484725952,21
contribuyente,7,0.9716418385505676,0.028358161449432373,22
autonomas,6,0.9716033935546875,0.0283966064453125,23
mantener,12,0.9710869193077087,0.02891308069229126,24
legitimidad,16,0.9709041714668274,0.029095828533172607,25
prevision,10,0.9708340167999268,0.029165983200073242,26
aumentar,31,0.9707784652709961,0.029221534729003906,27
australes,5,0.970635712146759,0.029364287853240967,28
articula,15,0.9703798890113831,0.029620110988616943,29
competitividad,31,0.9702469110488892,0.02975308895111084,30
interna,11,0.9701941013336182,0.029805898666381836,31
religioso,5,0.9701690077781677,0.029830992221832275,32
rector,8,0.9700342416763306,0.029965758323669434,33
vulnerabilidad,12,0.970015823841095,0.02998417615890503,34
vigentes,6,0.969864010810852,0.03013598918914795,35
establecimiento,7,0.969569742679596,0.030430257320404053,36
transferir,6,0.9694322943687439,0.030567705631256104,37
mantenimiento,16,0.9693328142166138,0.03066718578338623,38
evaluar,10,0.9692170023918152,0.030782997608184814,39
alternativas,9,0.9691439867019653,0.030856013298034668,40
brechas,9,0.9691191911697388,0.03088080883026123,41
individual,35,0.9690366983413696,0.03096330165863037,42
garantiza,10,0.9688431024551392,0.03115689754486084,43
proyeccion,8,0.968687117099762,0.03131288290023804,44
frenado,5,0.9685877561569214,0.03141224384307861,45
tamano,9,0.9685799479484558,0.03142005205154419,46
contribuir,13,0.9685315489768982,0.03146845102310181,47
reformar,6,0.9682465195655823,0.031753480434417725,48
libro,7,0.9681838750839233,0.03181612491607666,49
juridica,28,0.9680908918380737,0.03190910816192627,50
