term,freq,cos_sim,cos_dist,rank_proto
dad,10,0.9632784724235535,0.03672152757644653,1
aumentar,5,0.9607102274894714,0.039289772510528564,2
trabajaremos,6,0.9593561291694641,0.04064387083053589,3
convivencia,8,0.9522053599357605,0.0477946400642395,4
pro,12,0.951318621635437,0.04868137836456299,5
destino,6,0.9484267830848694,0.051573216915130615,6
ilegales,5,0.9456049799919128,0.05439502000808716,7
inmigrantes,5,0.9434296488761902,0.056570351123809814,8
hora,5,0.9421255588531494,0.057874441146850586,9
distintos,5,0.9417548179626465,0.058245182037353516,10
permita,7,0.9408355951309204,0.05916440486907959,11
existen,5,0.9400533437728882,0.059946656227111816,12
emergencias,8,0.9363945722579956,0.0636054277420044,13
merito,10,0.9357734322547913,0.06422656774520874,14
devolver,5,0.9351747632026672,0.06482523679733276,15
finalmente,5,0.9340070486068726,0.06599295139312744,16
inseguridad,5,0.9314702749252319,0.06852972507476807,17
necesarios,6,0.9312877655029297,0.06871223449707031,18
eje,5,0.9312549233436584,0.06874507665634155,19
permanente,5,0.9312185645103455,0.06878143548965454,20
confianza,7,0.930579423904419,0.06942057609558105,21
familiar,6,0.9285465478897095,0.07145345211029053,22
calles,7,0.9269313812255859,0.07306861877441406,23
necesitamos,8,0.92543625831604,0.07456374168395996,24
creemos,6,0.9251164197921753,0.07488358020782471,25
accion,12,0.9249936938285828,0.07500630617141724,26
elegir,5,0.9249053597450256,0.07509464025497437,27
estas,8,0.924369215965271,0.075630784034729,28
mos,14,0.9242927432060242,0.07570725679397583,29
siempre,6,0.9241794347763062,0.07582056522369385,30
toma,5,0.9230663180351257,0.07693368196487427,31
rincon,5,0.9226405620574951,0.07735943794250488,32
ver,6,0.9225932359695435,0.07740676403045654,33
emergencia,16,0.92136150598526,0.07863849401473999,34
avance,5,0.9201517105102539,0.0798482894897461,35
duele,8,0.9193482995033264,0.08065170049667358,36
podremos,5,0.9192349314689636,0.08076506853103638,37
comunidad,6,0.9191329479217529,0.08086705207824707,38
victimas,5,0.9188785552978516,0.08112144470214844,39
paz,6,0.9185203909873962,0.08147960901260376,40
ejes,5,0.9184035062789917,0.0815964937210083,41
materia,6,0.9173943996429443,0.08260560035705566,42
despues,5,0.9172414541244507,0.08275854587554932,43
tenemos,5,0.9161632657051086,0.08383673429489136,44
regulaciones,5,0.9157790541648865,0.08422094583511353,45
ilegal,5,0.9152020812034607,0.0847979187965393,46
cion,14,0.9148979783058167,0.08510202169418335,47
esfuerzos,7,0.9128552079200745,0.08714479207992554,48
lugar,6,0.9126179814338684,0.08738201856613159,49
asimismo,17,0.911522626876831,0.08847737312316895,50
