term,freq,cos_sim,cos_dist,rank_peri
si,13,0.5155238509178162,0.48447614908218384,1
sin,51,0.5218961238861084,0.4781038761138916,2
una,183,0.5314998030662537,0.46850019693374634,3
lo,41,0.5437585711479187,0.4562414288520813,4
millones,8,0.5558950901031494,0.4441049098968506,5
impuesto,5,0.5601000785827637,0.43989992141723633,6
los,289,0.5619375705718994,0.4380624294281006,7
gobierno,21,0.5712776184082031,0.4287223815917969,8
no,93,0.5738762617111206,0.4261237382888794,9
sistema,48,0.5755895972251892,0.4244104027748108,10
digitales,5,0.5762244462966919,0.4237755537033081,11
ley,27,0.578904926776886,0.421095073223114,12
entre,23,0.5825527906417847,0.41744720935821533,13
un,217,0.5880032181739807,0.4119967818260193,14
empresas,12,0.5938953757286072,0.4061046242713928,15
programa,12,0.5960796475410461,0.40392035245895386,16
ni,14,0.5999354124069214,0.4000645875930786,17
las,258,0.6028236150741577,0.3971763849258423,18
ha,29,0.6052979826927185,0.3947020173072815,19
nacional,47,0.6083521246910095,0.3916478753089905,20
pais,59,0.6107832789421082,0.38921672105789185,21
publico,29,0.6165009140968323,0.3834990859031677,22
al,83,0.6166149973869324,0.3833850026130676,23
salud,34,0.616837739944458,0.383162260055542,24
crimen,28,0.6180153489112854,0.3819846510887146,25
cada,28,0.6207592487335205,0.3792407512664795,26
inteligencia,15,0.6271550059318542,0.37284499406814575,27
por,68,0.6313230991363525,0.36867690086364746,28
organizado,24,0.6314516663551331,0.36854833364486694,29
atencion,17,0.6349768042564392,0.3650231957435608,30
mas,115,0.6387417912483215,0.36125820875167847,31
chile,84,0.6396185755729675,0.36038142442703247,32
es,80,0.6420325636863708,0.35796743631362915,33
solo,15,0.6563544273376465,0.3436455726623535,34
ministerio,11,0.6582453846931458,0.34175461530685425,35
centros,11,0.6605612635612488,0.3394387364387512,36
programas,32,0.6619005799293518,0.3380994200706482,37
servicios,15,0.6630204319953918,0.33697956800460815,38
del,165,0.6636144518852234,0.3363855481147766,39
espera,7,0.6638850569725037,0.33611494302749634,40
red,7,0.6645290851593018,0.33547091484069824,41
puede,9,0.6647747159004211,0.33522528409957886,42
anos,19,0.6652082204818726,0.33479177951812744,43
sino,8,0.6674445867538452,0.3325554132461548,44
o,33,0.6690635085105896,0.3309364914894104,45
esta,26,0.6690720319747925,0.3309279680252075,46
porque,9,0.6729321479797363,0.32706785202026367,47
regionales,12,0.6762368679046631,0.3237631320953369,48
politica,23,0.6765773892402649,0.3234226107597351,49
este,15,0.6766138076782227,0.32338619232177734,50
