term,freq,cos_sim,cos_dist,rank_proto
brechas,6,0.9723219871520996,0.02767801284790039,1
aumentar,5,0.9685578346252441,0.03144216537475586,2
acompanar,7,0.9657465815544128,0.03425341844558716,3
daremos,7,0.9654280543327332,0.034571945667266846,4
llevaremos,5,0.9621291756629944,0.037870824337005615,5
proyeccion,5,0.95977783203125,0.04022216796875,6
permita,6,0.9597375392913818,0.040262460708618164,7
promovera,6,0.9587980508804321,0.04120194911956787,8
mejoramiento,5,0.9586858153343201,0.04131418466567993,9
cero,5,0.9585270881652832,0.0414729118347168,10
promocion,6,0.9576994776725769,0.042300522327423096,11
buena,5,0.9553975462913513,0.04460245370864868,12
potenciar,6,0.9546127915382385,0.045387208461761475,13
mascotas,6,0.9543459415435791,0.0456540584564209,14
convivencia,5,0.9535618424415588,0.04643815755844116,15
desafio,5,0.9532284140586853,0.0467715859413147,16
busca,6,0.9524458646774292,0.0475541353225708,17
promover,5,0.9517901539802551,0.04820984601974487,18
efectivas,5,0.9513196349143982,0.04868036508560181,19
coordinara,5,0.9511873722076416,0.0488126277923584,20
modificaremos,5,0.9506301879882812,0.04936981201171875,21
accesible,6,0.9495522379875183,0.05044776201248169,22
resultados,8,0.948648989200592,0.05135101079940796,23
probidad,5,0.9485176801681519,0.051482319831848145,24
etapa,5,0.9472848773002625,0.05271512269973755,25
tendremos,5,0.946620523929596,0.05337947607040405,26
movilidad,5,0.9454144835472107,0.05458551645278931,27
ffaa,6,0.9452874660491943,0.054712533950805664,28
victimas,8,0.9450454115867615,0.054954588413238525,29
modernizar,7,0.9436839818954468,0.05631601810455322,30
recuperaremos,8,0.9436507225036621,0.05634927749633789,31
formal,7,0.9421941041946411,0.05780589580535889,32
entrega,6,0.9421166777610779,0.05788332223892212,33
iv,14,0.9417999386787415,0.058200061321258545,34
ventajas,5,0.9391769170761108,0.06082308292388916,35
priorizando,6,0.939167320728302,0.060832679271698,36
rural,10,0.9382939338684082,0.0617060661315918,37
terroristas,6,0.9374032020568848,0.06259679794311523,38
asegurar,8,0.9367696642875671,0.06323033571243286,39
avanzaremos,5,0.9363839030265808,0.06361609697341919,40
impulsara,7,0.9346134066581726,0.06538659334182739,41
calles,7,0.9338499307632446,0.06615006923675537,42
real,10,0.9335931539535522,0.06640684604644775,43
contratos,5,0.9334862232208252,0.0665137767791748,44
certezas,5,0.9328222870826721,0.06717771291732788,45
reglas,6,0.9327529072761536,0.06724709272384644,46
emprendimiento,7,0.9305371642112732,0.0694628357887268,47
riesgos,6,0.9303295612335205,0.06967043876647949,48
v,7,0.9283408522605896,0.0716591477394104,49
transparencia,8,0.9277935028076172,0.07220649719238281,50
