term,freq,cos_sim,cos_dist,rank_peri
sin,35,0.5163495540618896,0.48365044593811035,1
los,97,0.5242767333984375,0.4757232666015625,2
millones,11,0.5456469058990479,0.45435309410095215,3
si,7,0.547692596912384,0.45230740308761597,4
las,77,0.5614334940910339,0.43856650590896606,5
entre,22,0.5637651681900024,0.43623483180999756,6
lo,27,0.5678863525390625,0.4321136474609375,7
empresas,8,0.5699172616004944,0.4300827383995056,8
una,94,0.5729039311408997,0.42709606885910034,9
no,53,0.5845588445663452,0.4154411554336548,10
salud,19,0.60951828956604,0.39048171043395996,11
atencion,5,0.61004239320755,0.38995760679244995,12
sistema,29,0.6105825901031494,0.3894174098968506,13
ni,11,0.6108224987983704,0.38917750120162964,14
servicios,5,0.6126077771186829,0.38739222288131714,15
gobierno,13,0.6152976751327515,0.38470232486724854,16
impuesto,18,0.6179948449134827,0.38200515508651733,17
ha,11,0.6189737915992737,0.3810262084007263,18
mas,31,0.6235600113868713,0.37643998861312866,19
publico,10,0.6274737119674683,0.37252628803253174,20
al,31,0.6329721212387085,0.3670278787612915,21
cada,12,0.6355553269386292,0.36444467306137085,22
pais,29,0.6367357969284058,0.36326420307159424,23
marco,39,0.6373653411865234,0.36263465881347656,24
inteligencia,13,0.6384218335151672,0.36157816648483276,25
sus,11,0.6414766907691956,0.35852330923080444,26
por,51,0.6434897184371948,0.3565102815628052,27
un,97,0.6438224911689758,0.35617750883102417,28
programa,40,0.64567631483078,0.35432368516921997,29
jovenes,5,0.6494654417037964,0.3505345582962036,30
nacional,36,0.6525704860687256,0.3474295139312744,31
anos,19,0.6530025005340576,0.3469974994659424,32
o,27,0.6543828248977661,0.3456171751022339,33
acceso,7,0.6560900807380676,0.3439099192619324,34
solo,13,0.6677641868591309,0.33223581314086914,35
educacion,15,0.6711223125457764,0.32887768745422363,36
es,41,0.6717873215675354,0.3282126784324646,37
para,63,0.6740424633026123,0.3259575366973877,38
presidencial,37,0.6773844957351685,0.32261550426483154,39
ministerio,9,0.6778477430343628,0.3221522569656372,40
a,127,0.6789214015007019,0.3210785984992981,41
chile,49,0.6791141033172607,0.32088589668273926,42
personas,9,0.6794018745422363,0.32059812545776367,43
formacion,6,0.6808164715766907,0.3191835284233093,44
fondos,5,0.6853622794151306,0.3146377205848694,45
sino,17,0.6891602277755737,0.31083977222442627,46
gestion,7,0.6898910403251648,0.3101089596748352,47
proyectos,6,0.6916821002960205,0.3083178997039795,48
puede,6,0.692793071269989,0.307206928730011,49
del,86,0.696928083896637,0.30307191610336304,50
