term,freq,cos_sim,cos_dist,rank_proto
aumentar,9,0.9692054390907288,0.03079456090927124,1
pro,5,0.9628401398658752,0.037159860134124756,2
biodiversidad,8,0.9614483118057251,0.0385516881942749,3
progresiva,5,0.9596316814422607,0.04036831855773926,4
solidaridad,5,0.9580832123756409,0.04191678762435913,5
bancoestado,5,0.9564880728721619,0.043511927127838135,6
intergeneracional,5,0.9556298851966858,0.04437011480331421,7
azul,6,0.9543575048446655,0.04564249515533447,8
agregado,5,0.9536934494972229,0.0463065505027771,9
capaz,6,0.9528204798698425,0.04717952013015747,10
modernizar,5,0.9481974840164185,0.05180251598358154,11
logica,6,0.9347490668296814,0.0652509331703186,12
contar,5,0.9338715672492981,0.0661284327507019,13
industrial,8,0.9337958693504333,0.06620413064956665,14
comunitaria,5,0.9314545392990112,0.06854546070098877,15
cuenta,5,0.9306443333625793,0.06935566663742065,16
pensiones,9,0.9283663630485535,0.07163363695144653,17
pilares,5,0.9274141788482666,0.0725858211517334,18
productiva,5,0.9260205030441284,0.07397949695587158,19
previsional,8,0.9250847697257996,0.07491523027420044,20
campana,9,0.9246859550476074,0.07531404495239258,21
lucro,6,0.923995316028595,0.07600468397140503,22
extraccion,6,0.920359194278717,0.07964080572128296,23
tendra,5,0.9198402166366577,0.08015978336334229,24
cuyo,5,0.9198356866836548,0.08016431331634521,25
tres,5,0.9176133275032043,0.08238667249679565,26
sur,5,0.9161462187767029,0.08385378122329712,27
generar,5,0.9138801097869873,0.0861198902130127,28
hidrica,5,0.9124441146850586,0.0875558853149414,29
ecosistemas,9,0.9121802449226379,0.08781975507736206,30
clave,7,0.911838710308075,0.08816128969192505,31
base,5,0.9113920331001282,0.08860796689987183,32
hospital,6,0.9113671183586121,0.08863288164138794,33
territorios,6,0.9111126065254211,0.08888739347457886,34
humano,5,0.909260630607605,0.09073936939239502,35
cuentas,5,0.9084637761116028,0.09153622388839722,36
sostenible,5,0.9081484079360962,0.09185159206390381,37
garantizada,5,0.9070667028427124,0.0929332971572876,38
ejes,6,0.9067115783691406,0.09328842163085938,39
permitira,5,0.9064981341362,0.09350186586380005,40
eficiente,8,0.9050217866897583,0.0949782133102417,41
alianza,8,0.9016132950782776,0.09838670492172241,42
productividad,7,0.9010300040245056,0.09896999597549438,43
seran,8,0.8998048901557922,0.10019510984420776,44
requiere,14,0.8989145159721375,0.10108548402786255,45
inicial,5,0.8983798623085022,0.1016201376914978,46
cion,5,0.8972111940383911,0.10278880596160889,47
equidad,8,0.8967370390892029,0.10326296091079712,48
garantizar,13,0.8966107964515686,0.1033892035484314,49
cuatro,7,0.8954189419746399,0.10458105802536011,50
