term,freq,cos_sim,cos_dist,rank_peri
otl,9,-0.26322489976882935,1.2632248997688293,1
castracion,5,-0.17759162187576294,1.177591621875763,2
licenciamiento,7,-0.13851720094680786,1.1385172009468079,3
cultivos,18,-0.13063476979732513,1.1306347697973251,4
semillas,9,-0.09316970407962799,1.093169704079628,5
recarga,6,-0.0920567438006401,1.09205674380064,6
inia,13,-0.09173040091991425,1.0917304009199142,7
bonificadas,5,-0.09096783399581909,1.090967833995819,8
biologicos,5,-0.08831577003002167,1.0883157700300217,9
climaticos,6,-0.08378832787275314,1.0837883278727531,10
mecanizacion,7,-0.08096994459629059,1.0809699445962906,11
operador,5,-0.0797983705997467,1.0797983705997467,12
aptitud,7,-0.060526445508003235,1.0605264455080032,13
confinadas,6,-0.05901095271110535,1.0590109527111053,14
intercuencas,5,-0.058544281870126724,1.0585442818701267,15
suboficiales,7,-0.05526033788919449,1.0552603378891945,16
gofra,7,-0.0514918714761734,1.0514918714761734,17
compatibilidad,5,-0.05118628963828087,1.0511862896382809,18
asociadas,5,-0.04689687490463257,1.0468968749046326,19
hubs,6,-0.04198180139064789,1.0419818013906479,20
plantaciones,6,-0.028785614296793938,1.028785614296794,21
exoticas,6,-0.028619233518838882,1.0286192335188389,22
indap,23,-0.0218648798763752,1.0218648798763752,23
anid,11,-0.021719714626669884,1.0217197146266699,24
productores,8,-0.02023227885365486,1.0202322788536549,25
plagas,5,-0.017848309129476547,1.0178483091294765,26
sanidad,6,-0.0040886178612709045,1.004088617861271,27
rb,8,-0.003932321909815073,1.003932321909815,28
esports,13,-0.0020542629063129425,1.002054262906313,29
riberas,8,-0.0007771513774059713,1.000777151377406,30
tecnificado,5,-0.00023253454128280282,1.0002325345412828,31
demostracion,8,0.0009955716086551547,0.9990044283913448,32
parcelas,10,0.026102691888809204,0.9738973081111908,33
art,6,0.04446389526128769,0.9555361047387123,34
simuladores,5,0.04624342918395996,0.95375657081604,35
sag,16,0.05292605236172676,0.9470739476382732,36
coberturas,5,0.055653613060712814,0.9443463869392872,37
trauma,5,0.057012081146240234,0.9429879188537598,38
siembra,7,0.06953807175159454,0.9304619282484055,39
torneos,10,0.07210668176412582,0.9278933182358742,40
simplificada,6,0.07298723608255386,0.9270127639174461,41
desafectacion,7,0.0753742977976799,0.9246257022023201,42
agroseguros,6,0.08060647547245026,0.9193935245275497,43
aplicado,5,0.12049653381109238,0.8795034661889076,44
retribucion,9,0.12749776244163513,0.8725022375583649,45
cofinanciamiento,5,0.13491351902484894,0.8650864809751511,46
variedades,8,0.2106974869966507,0.7893025130033493,47
sin,90,0.5224461555480957,0.4775538444519043,48
una,235,0.535216748714447,0.464783251285553,49
los,367,0.5429406762123108,0.4570593237876892,50
