term,freq,cos_sim,cos_dist,rank_proto
regla,5,0.9795350432395935,0.020464956760406494,1
compartido,9,0.9771258234977722,0.022874176502227783,2
universidad,5,0.9768489599227905,0.023151040077209473,3
pertinencia,5,0.9744917154312134,0.02550828456878662,4
perdida,6,0.9738289713859558,0.02617102861404419,5
evaluar,8,0.9731338620185852,0.026866137981414795,6
emocional,5,0.9730293154716492,0.02697068452835083,7
tolerancia,5,0.9722897410392761,0.027710258960723877,8
exclusion,7,0.9720051884651184,0.027994811534881592,9
garantia,8,0.971852719783783,0.02814728021621704,10
vigentes,9,0.9717623591423035,0.028237640857696533,11
parental,8,0.9714810252189636,0.028518974781036377,12
brechas,5,0.9711717963218689,0.028828203678131104,13
estandar,9,0.9702292680740356,0.029770731925964355,14
brecha,6,0.9701371788978577,0.029862821102142334,15
ajustes,7,0.9701026678085327,0.029897332191467285,16
colectiva,5,0.9698323607444763,0.03016763925552368,17
buen,5,0.96976637840271,0.03023362159729004,18
resiliencia,9,0.9686053991317749,0.0313946008682251,19
aumentar,12,0.9683955311775208,0.03160446882247925,20
cabe,5,0.9683254957199097,0.03167450428009033,21
mercados,8,0.9671858549118042,0.0328141450881958,22
directo,9,0.9664390087127686,0.033560991287231445,23
compartida,6,0.966216504573822,0.03378349542617798,24
bioceanicos,6,0.9661624431610107,0.03383755683898926,25
individual,5,0.9661114811897278,0.03388851881027222,26
adaptacion,9,0.9650883078575134,0.03491169214248657,27
cumplen,5,0.965010941028595,0.03498905897140503,28
cientifico,6,0.9647523164749146,0.03524768352508545,29
permanencia,6,0.9647306799888611,0.035269320011138916,30
degradacion,6,0.9647248983383179,0.03527510166168213,31
muestra,5,0.964577317237854,0.035422682762145996,32
diplomatica,5,0.9645575881004333,0.03544241189956665,33
acorde,7,0.9644246101379395,0.03557538986206055,34
infiltracion,7,0.9643736481666565,0.035626351833343506,35
exportacion,7,0.9643414616584778,0.03565853834152222,36
gracias,6,0.9641074538230896,0.0358925461769104,37
tras,6,0.9638373851776123,0.036162614822387695,38
sequia,10,0.9633681774139404,0.03663182258605957,39
comunal,5,0.9633249044418335,0.036675095558166504,40
mantener,6,0.9629596471786499,0.0370403528213501,41
especifico,8,0.9627767205238342,0.03722327947616577,42
categoria,7,0.9627306461334229,0.03726935386657715,43
permitiendo,7,0.9626449346542358,0.03735506534576416,44
tratamiento,6,0.9624963402748108,0.03750365972518921,45
directa,8,0.9622935056686401,0.03770649433135986,46
efectos,7,0.9621748328208923,0.037825167179107666,47
oficial,8,0.9621381163597107,0.03786188364028931,48
perdidas,5,0.9620391130447388,0.03796088695526123,49
sernafor,9,0.9614851474761963,0.03851485252380371,50
