term,tf,sign
desarrollo,71,1
trabajo,63,1
salud,38,1
educacion,27,1
crimen,25,-1
seguridad,18,1
vivienda,15,1
derechos,11,1
apoyo,10,1
justicia,10,1
inflacion,10,-1
pobreza,9,-1
problema,9,-1
delincuencia,8,-1
violencia,8,-1
mejor,6,1
crisis,6,-1
bienestar,6,1
corrupcion,5,-1
fortalecimiento,4,1
beneficio,4,1
contaminacion,4,-1
deuda,4,-1
mejora,3,1
inclusion,3,1
riesgo,3,-1
transparente,2,1
abandono,2,-1
delito,2,-1
desigualdad,2,-1
empleo,1,1
inseguridad,1,-1
innovacion,1,1
precariedad,1,-1
transparencia,1,1
deficit,1,-1
oportunidad,1,1
sustentable,1,1
eficiente,1,1
narcotrafico,1,-1
