term,tf,sign
desarrollo,258,1
salud,117,1
crecimiento,77,1
seguridad,74,1
innovacion,72,1
transparencia,70,1
trabajo,70,1
educacion,68,1
vivienda,58,1
justicia,54,1
pobreza,50,-1
eficiente,42,1
apoyo,39,1
bienestar,38,1
derechos,38,1
fortalecer,36,1
mejora,35,1
riesgo,31,-1
transparente,30,1
empleo,29,1
fortalecimiento,29,1
mejor,28,1
deuda,23,-1
digitalizacion,23,1
inflacion,19,-1
crisis,19,-1
cuidado,18,1
exito,17,1
sostenible,17,1
progreso,15,1
beneficio,14,1
oportunidad,14,1
deficit,14,-1
corrupcion,11,-1
delito,10,-1
problema,9,-1
inclusion,8,1
ineficiencia,8,-1
crimen,8,-1
delincuencia,7,-1
contaminacion,6,-1
conflicto,6,-1
narcotrafico,5,-1
inseguridad,5,-1
violencia,5,-1
desigualdad,2,-1
eficaz,2,1
sustentable,1,1
