term,tf,sign
seguridad,28,1
salud,26,1
desarrollo,26,1
trabajo,21,1
educacion,19,1
crimen,17,-1
empleo,16,1
mejor,15,1
progreso,15,1
violencia,12,-1
crisis,11,-1
crecimiento,10,1
pobreza,10,-1
apoyo,9,1
delincuencia,7,-1
vivienda,7,1
justicia,7,1
narcotrafico,6,-1
delito,5,-1
inseguridad,5,-1
eficiente,5,1
innovacion,5,1
eficaz,4,1
mejora,4,1
conflicto,4,-1
fortalecer,4,1
bienestar,4,1
fortalecimiento,3,1
corrupcion,3,-1
deficit,3,-1
cuidado,3,1
oportunidad,3,1
problema,2,-1
deuda,2,-1
derechos,2,1
riesgo,2,-1
abandono,2,-1
precariedad,1,-1
sostenible,1,1
inclusion,1,1
ineficiencia,1,-1
