term,tf,sign
desarrollo,25,1
crecimiento,20,1
salud,19,1
educacion,15,1
seguridad,14,1
crisis,11,-1
empleo,11,1
eficiente,8,1
derechos,7,1
innovacion,7,1
fortalecer,6,1
bienestar,5,1
trabajo,5,1
sostenible,5,1
eficaz,4,1
transparente,4,1
justicia,4,1
crimen,4,-1
riesgo,3,-1
pobreza,3,-1
narcotrafico,2,-1
sustentable,2,1
oportunidad,2,1
vivienda,2,1
deficit,2,-1
fortalecimiento,2,1
desigualdad,2,-1
problema,1,-1
violencia,1,-1
deuda,1,-1
delito,1,-1
corrupcion,1,-1
precariedad,1,-1
apoyo,1,1
inseguridad,1,-1
transparencia,1,1
progreso,1,1
inflacion,1,-1
digitalizacion,1,1
contaminacion,1,-1
