term,tf,emotion
satisfaccion,3,alegria
bienestar,3,alegria
esperanza,2,alegria
alegria,1,alegria
alegre,1,alegria
abandono,3,tristeza
dolor,2,tristeza
violencia,17,ira
riesgo,29,miedo
miedo,5,miedo
incertidumbre,2,miedo
inseguridad,2,miedo
seguridad,49,confianza
colaboracion,27,confianza
confianza,8,confianza
estabilidad,5,confianza
certidumbre,1,confianza
corrupcion,8,asco
plan,34,anticipacion
proyecto,21,anticipacion
vision,14,anticipacion
estrategia,11,anticipacion
futuro,9,anticipacion
planificacion,5,anticipacion
