term,tf,sign
salud,54,1
seguridad,49,1
desarrollo,48,1
educacion,45,1
apoyo,33,1
innovacion,32,1
riesgo,29,-1
empleo,24,1
crimen,22,-1
trabajo,22,1
vivienda,18,1
violencia,17,-1
fortalecer,15,1
mejor,15,1
transparencia,13,1
fortalecimiento,9,1
eficiente,9,1
mejora,9,1
corrupcion,8,-1
delito,8,-1
derechos,7,1
digitalizacion,7,1
cuidado,6,1
oportunidad,6,1
crisis,6,-1
justicia,6,1
problema,5,-1
crecimiento,5,1
conflicto,4,-1
deficit,4,-1
beneficio,4,1
ineficiencia,4,-1
bienestar,3,1
pobreza,3,-1
sustentable,3,1
delincuencia,3,-1
narcotrafico,3,-1
transparente,3,1
abandono,3,-1
inseguridad,2,-1
deuda,2,-1
sostenible,2,1
exito,2,1
inclusion,1,1
inflacion,1,-1
eficaz,1,1
progreso,1,1
contaminacion,1,-1
